"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Detail_Keepers","Detail_Keepers","27","0","4","0","0"
"","Login_Mint","Login_Mint","0","0","15","0","0"
"","Widget","Widget","0","0","15","0","0"
"","Chibi","Chibi","7","0","0","0","0"
"","Login_Settings","Login_Settings","0","0","15","0","0"
"","Detail_Keepers_settings","Detail_Keepers_settings","0","0","16","0","0"
"","Login","Login","0","0","15","0","0"
